datetime,Achat Ecocup,Biere 25cl,Cafe,Carte Cashless,Cidre,Croque Choco,Frite,Hot-Dog,Menu Classique,Menu Vegetarien,Remboursement Ecocup,Sandwich Vege,Soft,Tee-shirts
2019-04-05 20:31:00,21,7,,8,7,,,,1,,,,,
2019-04-05 20:32:00,9,20,,4,1,,,1,1,1,,,1,1
2019-04-05 20:33:00,10,19,,7,3,,,1,,,,,3,
2019-04-05 20:34:00,16,17,,12,1,1,1,2,,,,,,
2019-04-05 20:35:00,14,25,,6,2,2,,1,,,,,3,
2019-04-05 20:36:00,8,17,,6,3,,,2,,,,,,1
2019-04-05 20:37:00,9,16,,9,,,,1,,,,,,
2019-04-05 20:38:00,12,31,,2,4,,,2,,,,,5,
2019-04-05 20:39:00,18,23,,8,,,,1,1,,,,1,
2019-04-05 20:40:00,9,25,,7,3,,2,3,,,,1,,
2019-04-05 20:41:00,9,21,,5,4,2,1,1,2,,,,,
2019-04-05 20:42:00,7,22,,6,1,,4,4,2,,,,1,
2019-04-05 20:43:00,12,18,,5,2,,,1,,1,,,1,
2019-04-05 20:44:00,12,19,,7,3,,1,1,,,,,2,
2019-04-05 20:45:00,11,21,,7,3,1,1,2,1,,,1,2,2
2019-04-05 20:46:00,14,15,,6,2,,,1,1,,1,,1,4
2019-04-05 20:47:00,15,23,,7,8,,,,2,1,,,2,
2019-04-05 20:48:00,16,21,,9,,,1,1,4,,,,2,
2019-04-05 20:49:00,5,32,,5,3,,1,2,1,,,,1,
2019-04-05 20:50:00,13,21,,8,4,1,1,1,,,,,4,2
2019-04-05 20:51:00,16,21,,9,4,,1,3,2,1,,,,
2019-04-05 20:52:00,8,14,,4,3,,,,3,1,,,1,
2019-04-05 20:53:00,24,23,,5,3,,2,,,,,,2,
2019-04-05 20:54:00,18,22,,6,3,,3,1,,1,,,4,
2019-04-05 20:55:00,16,22,,7,3,,5,,5,,,,1,
2019-04-05 20:56:00,13,33,,7,1,,,2,1,,,,1,
2019-04-05 20:57:00,15,19,,8,,1,2,2,,,,,4,
2019-04-05 20:58:00,10,30,,5,2,,,,,,,,1,
2019-04-05 20:59:00,21,33,,6,2,1,2,1,,1,,1,2,
2019-04-05 21:00:00,6,33,,6,3,2,2,,2,,,,,
2019-04-05 21:01:00,4,14,,4,3,,,,,,,,,
2019-04-05 21:02:00,8,24,,6,6,,,1,1,,,,2,1
2019-04-05 21:03:00,7,25,,3,2,,,4,2,,2,1,,1
2019-04-05 21:04:00,7,22,,4,2,,,,,,,,,
2019-04-05 21:05:00,8,31,,6,2,,,1,1,,,,,
2019-04-05 21:06:00,11,34,,11,2,,,,,,,,,
2019-04-05 21:07:00,12,31,,6,3,,2,,1,,,,2,
2019-04-05 21:08:00,17,25,,5,4,,,,2,,,,3,
2019-04-05 21:09:00,6,15,,4,2,,3,1,4,,,,1,
2019-04-05 21:10:00,21,24,,9,3,,,,1,,,,1,
2019-04-05 21:11:00,10,17,,4,5,2,,,8,,,,,
2019-04-05 21:12:00,6,32,,6,4,,1,1,2,,,,2,
2019-04-05 21:13:00,10,16,,12,2,,1,1,,1,,,2,
2019-04-05 21:14:00,12,33,,5,2,,1,,2,,1,,,
2019-04-05 21:15:00,20,29,,10,2,,1,,2,1,,,,
2019-04-05 21:16:00,9,35,,6,5,,,2,2,,,,3,
2019-04-05 21:17:00,10,22,,5,3,,,1,4,,,,,
2019-04-05 21:18:00,6,27,,4,2,1,1,1,1,,,,2,
2019-04-05 21:19:00,16,26,,7,3,,1,,2,,,,2,1
2019-04-05 21:20:00,10,28,,5,3,,,2,1,1,,,1,
2019-04-05 21:21:00,13,30,,6,,1,,,,,,,1,
2019-04-05 21:22:00,7,30,,8,1,,5,,,3,,,,
2019-04-05 21:23:00,9,41,,5,2,,,2,1,,,,3,
2019-04-05 21:24:00,10,22,,7,4,,2,6,3,,,,,
2019-04-05 21:25:00,12,27,,4,2,,1,,1,1,,,,
2019-04-05 21:26:00,12,31,,8,1,1,1,,1,,,,3,
2019-04-05 21:27:00,9,30,,6,5,,1,4,4,,,,2,
2019-04-05 21:28:00,17,29,,7,3,,,,3,,,,5,
2019-04-05 21:29:00,13,24,,7,6,1,4,2,5,,,1,4,1
2019-04-05 21:30:00,6,27,,4,2,,,,,1,,,2,
2019-04-05 21:31:00,13,35,,9,7,,1,,,,,,3,
2019-04-05 21:32:00,11,32,,5,2,,3,,4,2,,1,1,
2019-04-05 21:33:00,15,27,,6,3,,2,2,1,,,,4,
2019-04-05 21:34:00,12,40,,6,,,2,2,1,,,,1,1
2019-04-05 21:35:00,19,25,,9,4,,,,1,,,,1,
2019-04-05 21:36:00,14,32,,8,5,,4,1,2,,,,1,
2019-04-05 21:37:00,20,43,,10,3,,,,,1,,1,,
2019-04-05 21:38:00,8,34,,7,4,,4,6,5,,,1,4,
2019-04-05 21:39:00,10,26,,8,3,,,,1,2,,,1,
2019-04-05 21:40:00,15,31,,5,2,,,,2,,,,1,
2019-04-05 21:41:00,7,30,,3,6,2,1,3,2,,,,,
2019-04-05 21:42:00,12,27,,8,4,,3,1,,,,,,3
2019-04-05 21:43:00,10,42,,5,4,,,1,1,1,,1,2,
2019-04-05 21:44:00,8,24,,3,1,,1,2,4,,,,1,
2019-04-05 21:45:00,9,30,,6,2,2,2,4,1,,1,,,
2019-04-05 21:46:00,7,29,,3,5,1,,,3,2,,,2,
2019-04-05 21:47:00,5,33,,2,4,,5,2,2,,,,4,
2019-04-05 21:48:00,4,19,,5,3,,3,1,2,2,,,2,
2019-04-05 21:49:00,9,27,,6,4,,1,1,2,,,1,,
2019-04-05 21:50:00,9,41,,6,3,,,2,2,,,,5,
2019-04-05 21:51:00,12,31,,6,1,,1,1,1,2,,,1,
2019-04-05 21:52:00,5,39,,7,2,1,5,1,3,2,1,,1,
2019-04-05 21:53:00,3,28,,2,6,2,3,,2,2,,,4,
2019-04-05 21:54:00,4,31,,6,3,1,1,2,4,,,,3,
2019-04-05 21:55:00,5,23,,6,2,1,2,2,2,,,,5,
2019-04-05 21:56:00,5,32,,7,7,2,,,7,3,,,1,
2019-04-05 21:57:00,4,25,,1,4,,4,1,,,,,4,
2019-04-05 21:58:00,3,19,,2,3,,3,6,5,2,,,3,
2019-04-05 21:59:00,8,24,,6,8,,,,1,,,,2,
2019-04-05 22:00:00,2,21,,1,2,2,2,,2,,3,,,
